env,keys,item,x,y
env1,face,George_Clooney,12,20
env1,food,lettuce,4,44
env1,animal,zebra,36,8
env5,face,Oprah_Winfrey,4,20
env5,animal,giraffe,44,20
env5,tool,hammer,28,36
env8,face,Elvis_Presley,52,16
env8,animal,brown_bear,40,52
env8,food,oranges,12,20
env10,face,Queen_Elizabeth_II,36,52
env10,animal,alligator,12,32
env10,tool,drill,52,16
env11,face,Marilyn_Monroe,40,36
env11,tool,scissors,12,36
env11,animal,duck,36,20
env12,face,Paul_McCartney,36,4
env12,animal,cow,52,48
env12,food,apple,20,28
